nro,Jerga,tipo,descripción corta,Descripción,fuente
828,gorrear,Jerga,quitar,Acc. Quitar o recibir de manera gratuita algún tipo de beneficio de otra persona.,https://jergozo.com/diccionario-peruano
829,gorreón,Jerga,aprovechador,"(Sust) Aprovechador, Gusta usar o consumir lo ajeno sin retribuir",https://jergozo.com/diccionario-peruano
830,gorrión,Jerga,aprovechador,"Hombre que ""gorrea"", es decir, que constantemente pide que los demás compartan con él lo que tienen (viene de la imagen de quien ""pasa el gorro"" al modo de los artistas callejeros después de sus funciones).",https://jergozo.com/diccionario-peruano
831,graciaela,Jerga,gracias,Gracias,https://jergozo.com/diccionario-peruano
832,grajo,Jerga,Fetidez del sudor.,Fetidez del sudor.,https://jergozo.com/diccionario-peruano
833,grifa,Jerga,Marihuana,Marihuana,https://jergozo.com/diccionario-peruano
834,gringa,Jerga,extranjera,"Extranjera de raza blanca, en general una europea y/o una norteamericana. Ejemplo histórico sacado de una carta del Presidente boliviano don Hilarión Daza al Prefecto de Antofagasta en febrero 1879Y como le he dicho, los gringos están completamente fregados y los chilenos tienen que morder y reclamar, nada más, refiriéndose a los ingleses.",https://jergozo.com/diccionario-peruano
835,gua,Jerga,guau,"Exclamación que denota temor, sorpresa o admiración.",https://jergozo.com/diccionario-peruano
836,guácala,Jerga,asqueroso,"Asqueroso, grotesco",https://jergozo.com/diccionario-peruano
837,guachafo,Jerga,que no se viste bien,Persona hombre o mujer que no viste bien.,https://jergozo.com/diccionario-peruano
838,guaipe,Jerga,trapo,"Andrajo, trapo. Trapo para sacar brillo.",https://jergozo.com/diccionario-peruano
839,guambra,Jerga,niña,"Dicese asi a las niñas y a las jovencitas adolescentes, esta expresion es mas utilizada en el oriente del Peru como es el caso de Ciudades de Pucallpa, Iquitos y aledaños,",https://jergozo.com/diccionario-peruano
840,guambrillo,Jerga,niño,Niño pequeño,https://jergozo.com/diccionario-peruano
841,guanacas,Jerga,feo,"En peru huanaco lo usamos para referirnos a una persona de la sierra despectivamente,humillar,etc es como el equivalente en mexico de naco",https://jergozo.com/diccionario-peruano
842,guapear,Jerga,fanfarronear,"Fanfarronear, echar bravatas.",https://jergozo.com/diccionario-peruano
843,guaraca,Jerga,Látigo,Látigo.,https://jergozo.com/diccionario-peruano
844,guarapera,Jerga,borracha,"Borracho, tomado, bebido, ebrio, pedo, chumado, cocido, zocado, chaleco de mimbre, guarapeta, curado, guaroso, mollatero, curdo, huasqueado, caña, guarapeado, choborra, cañifla, duro, crudo, machado y encañado. Ver guarapo.",https://jergozo.com/diccionario-peruano
845,guarapero,Jerga,borracho,"Borracho, tomado, bebido, ebrio, pedo, chumado, cocido, zocado, chaleco de mimbre, guarapeta, curado, guaroso, mollatero, curdo, huasqueado, caña, guarapeado, choborra, cañifla, duro, crudo, machado y encañado. Ver guarapo.",https://jergozo.com/diccionario-peruano
846,guarda,Jerga,cuidado,Dícese de la persona que tiene cuidado. Se le dice a las personas para que éstas tengan cuidado.,https://jergozo.com/diccionario-peruano
847,guardar pan para mayo,expresión,ahorrar,"Ahorrar , tomar precauciones para el futuro",https://jergozo.com/diccionario-peruano
