nro,Jerga,tipo,descripción corta,Descripción,fuente
1366,pelmazo,Jerga,tonto,"Tonto, lento de pensamiento.",https://jergozo.com/diccionario-peruano
1367,pelotero,Jerga,futbolista,Dícese del que juega a la pelota o al fulbito.,https://jergozo.com/diccionario-peruano
1368,penar,Jerga,aparicion fantasmal,"Aunque algunas mentes alucinadas llegaron a pensar que esta voz designaba a las acciones de los penas (naturales de Cartago, del latín poenus) la realidad es que designa a la inacción de padecer las penas de la otra vida, pero no en el purgatorio como ha de ser, sino, en forma un tanto más silvestre, en las casas, u otros lugares, en donde están penando. O sea, dicho en forma un tanto más simple, esta voz indica a las acciones de los fantasmas y de las almas en pena, es decir, lo que se llama en otros lados rondar un espíritu.",https://jergozo.com/diccionario-peruano
1369,penca,Jerga,hojas de planta,Hojas de la planta de aloe o sabila,https://jergozo.com/diccionario-peruano
1370,pendeivis,Jerga,hábil,Eufemismo de «pendejo».,https://jergozo.com/diccionario-peruano
1371,pendejada,Jerga,Mala pasada.,Mala pasada.,https://jergozo.com/diccionario-peruano
1372,pendejón,Jerga,pene,"Pija, pene.",https://jergozo.com/diccionario-peruano
1373,pendejos,Jerga,vello púbico,Pelos que salen en la zona genital,https://jergozo.com/diccionario-peruano
1374,peña,Jerga,Local donde se toca musica peruna,Local donde se toca musica peruna,https://jergozo.com/diccionario-peruano
1375,peñiscar,Jerga,Pellizcar,"Pellizcar (dar un ""peñisco"")",https://jergozo.com/diccionario-peruano
1376,peñisco,Jerga,Pellizco,"Pellizco (de ""peñiscar"")",https://jergozo.com/diccionario-peruano
1377,peor es nada,expresión,compañero sentimental,Compañero (a) sentimental,https://jergozo.com/diccionario-peruano
1378,pepón,Jerga,guapo,La persona atractiva.,https://jergozo.com/diccionario-peruano
1379,pera,Jerga,dia libre,Tomarse el día libre sin permiso,https://jergozo.com/diccionario-peruano
1380,percala,Jerga,tela,"Percal, tela.",https://jergozo.com/diccionario-peruano
1381,pereque,Jerga,fiesta,Fiesta o reunión de militares,https://jergozo.com/diccionario-peruano
1382,pericote,Jerga,ratón,Ratón pequeño,https://jergozo.com/diccionario-peruano
1383,perra,Jerga,prostituta,"Animal mamifero derivado de perro sexo fememino (hembra),también llamadas asi a mujeres sexys o proocativas,que se acuestan con muchos hombres,puta (prostituta),que se prostituye por placer o dinero",https://jergozo.com/diccionario-peruano
1384,perras,Jerga,mal olor de pies,"Olor desagradable proveniente de los pies, generado por la transpiración o por naturaleza",https://jergozo.com/diccionario-peruano
1385,perreo chacalonero,expresión,baile extravagante,"Perreo , baile",https://jergozo.com/diccionario-peruano
1386,perromuertero,Jerga,estafador,(Sust/adj) estafador por costumbre,https://jergozo.com/diccionario-peruano
1387,perú libre,Jerga,bebida alcohólica,"Básicamente, un Cuba libre pero con pisco en vez de ron. O sea, una piscola con algo de limón.",https://jergozo.com/diccionario-peruano
1388,peruchita,Jerga,peruana,Fémina atractiva peruana,https://jergozo.com/diccionario-peruano
1389,perucho,Jerga,peruano,Cholo,https://jergozo.com/diccionario-peruano
1390,perukistan,Jerga,Perú,"Apodo referido a Perú por ser un pais similar a Afganistán, ya que no cuenta con árboles y sus casas carecen de pintura",https://jergozo.com/diccionario-peruano
1391,peruky,Jerga,peruano,Palabra que se le atribuye al hijo de un Peruano con un Smokie,https://jergozo.com/diccionario-peruano
1392,pesado,Jerga,molestoso,Persona fastidiosa,https://jergozo.com/diccionario-peruano
1393,pescar,Jerga,sorprender,"Atrapar , sorprender",https://jergozo.com/diccionario-peruano
1394,pestañazo,Jerga,siesta,"(M) sueño, siesta breve",https://jergozo.com/diccionario-peruano
1395,pesuñento,Jerga,Persona desagradable,Persona desagradable o indeseable,https://jergozo.com/diccionario-peruano
1396,pete,Jerga,felación,Hacer sexo oral,https://jergozo.com/diccionario-peruano
1397,petrolero,Jerga,homosexual,Un maricon de iran,https://jergozo.com/diccionario-peruano
1398,pezuña,Jerga,Mal olor de los pies,Mal olor de los pies,https://jergozo.com/diccionario-peruano
1399,pezuñento,Jerga,Persona desagradable,"(Adj) sin importancia, menospreciado, poco instruido",https://jergozo.com/diccionario-peruano
1400,picado,Jerga,borracho,Es una persona que ya se está empezando a marear por tomar licor. Que probó unos tragos y quiere seguir tomando.,https://jergozo.com/diccionario-peruano
1401,picapleitos,Jerga,abogado,"Abogado , licenciado o doctor en leyes",https://jergozo.com/diccionario-peruano
1402,picar,Jerga,probar comida,probar comida,https://jergozo.com/diccionario-peruano
1403,picarón,Jerga,picaro,picaro,https://jergozo.com/diccionario-peruano
1404,picárselas,Jerga,largarse,"Largarse, irse rápidamente.",https://jergozo.com/diccionario-peruano
1405,pichicata,Jerga,droga,"Clorhidrato de cocaína y cocaína en particular; Diosa blanca, perica y merka.",https://jergozo.com/diccionario-peruano
1406,pichicatera,Jerga,drogadicto,Adicto a la cocaína.,https://jergozo.com/diccionario-peruano
1407,pichicatero,Jerga,burrier,"Camello, en el sentido de pasar droga por la aduana.",https://jergozo.com/diccionario-peruano
1408,pichin,Jerga,enojado,"Persona de mal caracter , de mal humor, asado, azabache",https://jergozo.com/diccionario-peruano
1409,pichingo,Jerga,pene,Para referirse al pene,https://jergozo.com/diccionario-peruano
1410,pichiruche,Jerga,insignificante,Dícese de la persona insignificante. En Chile y Perú se pronuncia como 'pichiruche' mientras que en la Argentina se pronuncia como 'pichiruchi'. Una vez más citaremos al fantástico de Quino via Mafalda en las siguientes tiras cómicas;,https://jergozo.com/diccionario-peruano
1411,pichiruchi,Jerga,insignificante,Dícese de la persona insignificante. En Chile y Perú se pronuncia como 'pichiruche' mientras que en la Argentina se pronuncia como 'pichiruchi'. Una vez más citaremos al fantástico de Quino via Mafalda en las siguientes tiras cómicas;,https://jergozo.com/diccionario-peruano
1412,pichito,Jerga,vagina,Vagina,https://jergozo.com/diccionario-peruano
1413,picho,Jerga,irrelevante,No es importante Es irrelevante Ni siquiera interesa,https://jergozo.com/diccionario-peruano
1414,pichula,Jerga,pene,"Pichula es pene en la manera vulgar. Una variante de pinga. Ahora,PICHULADAS tiene el significado de sandeces, cosas sin importancia, gaferas, tonterias.",https://jergozo.com/diccionario-peruano
1415,pichusa,Jerga,adefecio,"Mujer pequeña,mamarracho,adefecio",https://jergozo.com/diccionario-peruano
1416,pico,Jerga,beso,"Beso , osculo",https://jergozo.com/diccionario-peruano
1417,picon,Jerga,resentido,Definicion del lexico barrunto que quiere decir que una persona envidia a la otra,https://jergozo.com/diccionario-peruano
1418,piedron,Jerga,guapo,"Guapo , bien parecido",https://jergozo.com/diccionario-peruano
1419,pieza,Jerga,pene,"Dícese de cierta parte de la anatomía masculina cuya característica principal, además de la de tener más de mil nombres, es la de ser sumamente liviana pues se levanta con un simple pensamiento y basta una simple paja para bajarla. O sea, estamos hablando del órgano sexual masculino, penca, pelado con polera, pene, polla, pico, picha, pájaro, pinga, pichula, huevo, pija, güebo, paloma, paquete, machete, pelado, pájaro de fuego, mandoble, pito, bicho, chile, cola, diuka, plátano, nervio chacotero, poronga, guaraca, puntita, choto, verga, quitasueño, paquete. Es de suponerse que en el Perú no debe ser de buen tono mostrarle su pieza a una señorita. ¿O quizás lo sea? ¿Dependerá de la presentabilidad de la mentada pieza? Tantas interrogantes... Lo importante, en todo caso, no es el tamaño de la pieza, sino el tiempo que está tiesa.",https://jergozo.com/diccionario-peruano
1420,pifia,Jerga,burla,"Burla, rechifla.",https://jergozo.com/diccionario-peruano
1421,pifiar,Jerga,burlar,"Burlar, escarnecer, hacer bromas pesadas.",https://jergozo.com/diccionario-peruano
1422,pigricia,Jerga,pizca,Pizca. Minucia.,https://jergozo.com/diccionario-peruano
1423,pija,Jerga,pene,Miembro reproductor maculino,https://jergozo.com/diccionario-peruano
1424,píldora,Jerga,enano,Persona de baja estatura,https://jergozo.com/diccionario-peruano
1425,pilón,Jerga,gloton,Se le dice a aquella persona gorda que le gusta comer a cada rato,https://jergozo.com/diccionario-peruano
1426,pincho,Jerga,pene,Pene,https://jergozo.com/diccionario-peruano
1427,pinga,Jerga,pene,pene,https://jergozo.com/diccionario-peruano
1428,pingon,Jerga,de pene grande,Dicese de el hombre que tiene el pene grande,https://jergozo.com/diccionario-peruano
1429,pinta,Jerga,Apariencia,Apariencia,https://jergozo.com/diccionario-peruano
1430,pintón,Jerga,guapo,De rostro atractivo,https://jergozo.com/diccionario-peruano
1431,piñoso,Jerga,mala suerte,"Gafado, con mala suerte.",https://jergozo.com/diccionario-peruano
1432,piojo,Jerga,infante,"Son los niños, pero se usa mas en el diminutivo. Se les llama así a un infante.",https://jergozo.com/diccionario-peruano
1433,piojoso,Jerga,persona pobre,A una persona pobre y de mal vivir,https://jergozo.com/diccionario-peruano
1434,piola,Jerga,pasar desapercibido,Pasar algo o alguien desapercibido.,https://jergozo.com/diccionario-peruano
1435,pipa,Jerga,barriga,"Tripa, barriga.",https://jergozo.com/diccionario-peruano
1436,pipí,Jerga,orinar,Orinar,https://jergozo.com/diccionario-peruano
1437,pipiléctico,Jerga,Epiléctico,Epiléctico,https://jergozo.com/diccionario-peruano
1438,pipisote,Jerga,pene,"Pija, pene.",https://jergozo.com/diccionario-peruano
1439,piqueo,Jerga,botana,"Tapa , pincho, pintxo, algo de picoteo (esp), botana (mex)",https://jergozo.com/diccionario-peruano
1440,piquito,Jerga,beso,Suave beso en los labios,https://jergozo.com/diccionario-peruano
1441,piraña,Jerga,ladrón,Dícese de los niños que deambulan por las calles y roban a los transeuntes entre varios.,https://jergozo.com/diccionario-peruano
1442,pirañas,Jerga,ladrones,Dícese de los niños que deambulan por las calles y roban a los transeuntes entre varios.,https://jergozo.com/diccionario-peruano
1443,pirata,Jerga,FALSE,"Imitacion de otra marca, copia de mala calidad, trabajar sin autorizacion.",https://jergozo.com/diccionario-peruano
1444,piropo,Jerga,cumplido,"Cumplido , lisonja, elogio",https://jergozo.com/diccionario-peruano
1445,piruja,Jerga,promiscua,Mujer con bastante apetito sexual,https://jergozo.com/diccionario-peruano
1446,pirujo,Jerga,Mujeriego,Mujeriego,https://jergozo.com/diccionario-peruano
1447,pisco sour,Jerga,Bebida con pisco peruano,Bebida con pisco peruano,https://jergozo.com/diccionario-peruano
1448,pishpira,Jerga,coqueta,Chica movida coqueta,https://jergozo.com/diccionario-peruano
1449,pishura,Jerga,vagina,"Vagina , chucha, concha, vulva",https://jergozo.com/diccionario-peruano
1450,pita,Jerga,hermana,Prima o hermana,https://jergozo.com/diccionario-peruano
1451,pitear,Jerga,quejarse,quejarse,https://jergozo.com/diccionario-peruano
1452,pitillo,Jerga,casto,"Virgen, casta",https://jergozo.com/diccionario-peruano
1453,pito,Jerga,cigarro,"Cigarillos a base de marihuana, balín, chicharra.",https://jergozo.com/diccionario-peruano
1454,pitos,Jerga,cigarros,"Cigarillos a base de marihuana, balín, chicharra.",https://jergozo.com/diccionario-peruano
1455,pituca,Jerga,adinerada,"Persona con mucho dinero, una forma informal de decir a una persona que tiene dinero",https://jergozo.com/diccionario-peruano
1456,pitufo,Jerga,viagra,Pastilla de viagra,https://jergozo.com/diccionario-peruano
1457,pituquería,Jerga,rasgos de adinerado,rasgos de adinerado,https://jergozo.com/diccionario-peruano
1458,piyin,Jerga,Coqueto,Coqueto,https://jergozo.com/diccionario-peruano
1459,placero,Jerga,callejero,Vendedor callejero.,https://jergozo.com/diccionario-peruano
1460,plaga,Jerga,molestia,"Fastidioso , molestoso",https://jergozo.com/diccionario-peruano
1461,plancha quemada,Jerga,homosexual,Persona que no daba indicios de ser homosexual pero de repente se destapo,https://jergozo.com/diccionario-peruano
1462,planchar,Jerga,corregir desperfectos,Reparar la carrocería de un automóvil,https://jergozo.com/diccionario-peruano
1463,plancito,Jerga,cita,Cita ocasional sin fines serios,https://jergozo.com/diccionario-peruano
1464,planta,Jerga,lento,"Aburrido, lento, poco interesante.",https://jergozo.com/diccionario-peruano
1465,planton,Jerga,cuidador,"Quien cuida alguna zona especifica , como galpones, baÑos, vehiculos, etc",https://jergozo.com/diccionario-peruano
1466,platudo,Jerga,adinerado,Que tiene mucho dinero. No olvidar que antiguamente las monedas eran de plata. La Academia recoge platudo como americanismo. En el Perú no indica -necesariamente- desprecio.,https://jergozo.com/diccionario-peruano
1467,playita,Jerga,prostitura,"Prostituta , promiscua, ramera, bitch",https://jergozo.com/diccionario-peruano
1468,plomear,Jerga,disaparar,"(V) disparar, tirotear",https://jergozo.com/diccionario-peruano
1469,plomo,Jerga,pistola,pistola,https://jergozo.com/diccionario-peruano
1470,plotear,Jerga,imprimir,"Plotear es Imprimir planos dibujados a computadora. Es un nuevo verbo empleado por arquitectos, diseñadores e ingenieros.",https://jergozo.com/diccionario-peruano
1471,pocha,Jerga,vagina,"Vagina , chucha, concha, puchi, coño",https://jergozo.com/diccionario-peruano
1472,pocillo,Jerga,taza,Cualquier taza.,https://jergozo.com/diccionario-peruano
1473,pogo,Jerga,baile,Baile,https://jergozo.com/diccionario-peruano
1474,poguear,Jerga,empujar,"Moverse de forma brutal, mayormente dando vueltas, empujar, golpear sin querer dañar a nadie y divertirse al pie del escenario de un concierto mayormente de Punk, Hardcore.",https://jergozo.com/diccionario-peruano
1475,pokemon,Jerga,raro,raro,https://jergozo.com/diccionario-peruano
1476,polilla,Jerga,Mujer interesada,Mujer interesada,https://jergozo.com/diccionario-peruano
1477,polla,Jerga,ebria,Persona que se emborracha facilmente.,https://jergozo.com/diccionario-peruano
1478,pollada,Jerga,Fiesta,Fiesta,https://jergozo.com/diccionario-peruano
1479,pollogordo,Jerga,gordo,Persona gorde de tez morena,https://jergozo.com/diccionario-peruano
1480,polvo chico,Jerga,tener sexo,"Penetración anal, por el sur, por detroit, por detrás, por atrás, por el chiquito, por la carretera de piedra, por el camino de tierra.",https://jergozo.com/diccionario-peruano
1481,polvorín,Jerga,tener sexo,Tener relaciones sexuales grupales,https://jergozo.com/diccionario-peruano
1482,ponedor,Jerga,persona interesante,Algo o alguien que esta de moda o nos hace ver mejor.,https://jergozo.com/diccionario-peruano
1483,poner cachos,expresión,ser infiel,ser infiel,https://jergozo.com/diccionario-peruano
1484,ponerse rosado,expresión,Conseguir un bien material,Conseguir un bien material,https://jergozo.com/diccionario-peruano
1485,por el chico,expresión,tener sexo,Sexo anal,https://jergozo.com/diccionario-peruano
1486,por las huevas,expresión,en vano,"En vano , gratuitamente, sin motivo, sin ningún beneficio",https://jergozo.com/diccionario-peruano
1487,por mi madre,expresión,lo juro,lo juro,https://jergozo.com/diccionario-peruano
1488,por si las moscas,expresión,Por si acaso,Por si acaso,https://jergozo.com/diccionario-peruano
1489,porcata,Jerga,sucio,Sucio chochino,https://jergozo.com/diccionario-peruano
1490,pornero,Jerga,Que ve mucha pornografía,Que ve mucha pornografía,https://jergozo.com/diccionario-peruano
1491,poronguero,Jerga,Vendedor de leche.,Vendedor de leche.,https://jergozo.com/diccionario-peruano
1492,porsiaca,Jerga,precausion,"Por si acaso, por precaución",https://jergozo.com/diccionario-peruano
1493,posero,Jerga,que aparenta,"Persona que no es auténtica, en pocas palabras, un posero es una persona que no tiene bien planteado lo que es, y finge ser algo que no va consigo mismo.",https://jergozo.com/diccionario-peruano
1494,ptm,Jerga,hijo de puta,Putamadre,https://jergozo.com/diccionario-peruano
1495,puchicana,Jerga,me lamento,No tiene una definicion concreta se utiliza antes de una expresión pero no sistemáticamente.,https://jergozo.com/diccionario-peruano
1496,pucho,Jerga,cigarro,Cigarrillo,https://jergozo.com/diccionario-peruano
1497,puentear,Jerga,evadir a alguien,"(V) omitir, ignorar, evadir a una persona",https://jergozo.com/diccionario-peruano
1498,pulenta,Jerga,maravilloso,"(Adj) maravilloso, muy positivo, estimulante, agradable (para referirse a objetos y situaciones, no para personas--invariable en f y m)",https://jergozo.com/diccionario-peruano
1499,pulpin,Jerga,novato,novato,https://jergozo.com/diccionario-peruano
1500,pulpo,Jerga,multitareas,"Persona capaz de hacer muchas cosas a la vez. Se refiere tanto ahombres como a mujeres y es invariable en género: ""Esa tipa es un pulpo"".",https://jergozo.com/diccionario-peruano
1501,punta,Jerga,arma blanca,(F) Arma blanca,https://jergozo.com/diccionario-peruano
1502,puntas,Jerga,personas,"Gente, personas",https://jergozo.com/diccionario-peruano
1503,puntear,Jerga,ir adelante,Marchar a la cabeza de un grupo de personas o animales.,https://jergozo.com/diccionario-peruano
1504,puntero,Jerga,ir adelante,Persona o animal que va delante de los demás.,https://jergozo.com/diccionario-peruano
1505,punto,Jerga,tonto,Tonto.,https://jergozo.com/diccionario-peruano
1506,punto 40,expresión,arma,Arma de fuego de distinto calibre automática.,https://jergozo.com/diccionario-peruano
1507,pupeca,Jerga,prostituta,"Viene de las palabras puta, perra, y cacherra. Dicese de aquella mujer de vida sexual promiscua, que gusta de la vida nocturna y de las fiestas y/o parrandas; sinonimo: rabanola.",https://jergozo.com/diccionario-peruano
1508,pusanga,Jerga,brebaje,"Perfume o loción ""del amor""",https://jergozo.com/diccionario-peruano
1509,pusanguero,Jerga,que utiliza loción,"Lo relativo a la pusanga (perfume ""del amor"")",https://jergozo.com/diccionario-peruano
1510,puta madre,Jerga,me lamento,Dependiendo del contexto y la entonación tiene dos significados: 1. Expresión para denotar asombro; cuando algo es muy bueno. 2. Expresión cuando algo no sale como uno quería.,https://jergozo.com/diccionario-peruano
1511,putadero,Jerga,prostibulo,Lugar donde las prositutas dan su servicio,https://jergozo.com/diccionario-peruano
1512,putañero,Jerga,promiscuo,Persona que requiere los servicios de las damas de la noche,https://jergozo.com/diccionario-peruano
1513,putear,Jerga,Prostituirse,Prostituirse,https://jergozo.com/diccionario-peruano
1514,puto,Jerga,homosexual,Homosexual,https://jergozo.com/diccionario-peruano
1515,putón,Jerga,promiscuo,Alguien que gusta de meterse con prostitutas,https://jergozo.com/diccionario-peruano
1516,putos,Jerga,homosexuales,Gay si lees esto ya enserio te gusta el pene si llegaste hasta aquí es que eres un puto,https://jergozo.com/diccionario-peruano
1517,puzanga,Jerga,brebaje,Es un brebaje hecho por los brujos para atraer a otra persona.,https://jergozo.com/diccionario-peruano
1518,pyme,Jerga,empresa,Abreviación de Pequeña y Mediana Empresa.,https://jergozo.com/diccionario-peruano
1519,que chancho,Jerga,gordo,Gordo.,https://jergozo.com/diccionario-peruano
1520,que fuentes,Jerga,que sucede,Que fue,https://jergozo.com/diccionario-peruano
1521,¡que tal raza!,expresión,descarado,"Sorprenderse , injusto",https://jergozo.com/diccionario-peruano
1522,que talcos,Jerga,Que tal,Que tal,https://jergozo.com/diccionario-peruano
1523,que talentos,Jerga,Que tal,Que tal,https://jergozo.com/diccionario-peruano
1524,queco,Jerga,finta,Finta,https://jergozo.com/diccionario-peruano
1525,quechi,Jerga,golpe,Golpe,https://jergozo.com/diccionario-peruano
1526,quemar,Jerga,traicionar,traicionar,https://jergozo.com/diccionario-peruano
1527,quemarse,Jerga,equivocarse,"(V) 1) contraer una enfermedad venérea, y por extensión, recibir una sorpresa desagradable, una decepción; 2) perder la reputación, usada para políticos, artistas u otro tipo de personaje público",https://jergozo.com/diccionario-peruano
1528,queque,Jerga,nalgas,"En Peru, trasero, culo",https://jergozo.com/diccionario-peruano
1529,quete,Jerga,paquete de droga,Paquete de droga,https://jergozo.com/diccionario-peruano
1530,quina,Jerga,moneda,(F) cincuenta céntimos,https://jergozo.com/diccionario-peruano
1531,quincear,Jerga,equivocar,Es cuando uno se equivoca al hacer o decir algo,https://jergozo.com/diccionario-peruano
1532,quino,Jerga,fiesta,(M) fiesta de quince años de una chica,https://jergozo.com/diccionario-peruano
1533,quinoa,Jerga,avena,"& Nombre común del Chenopodium quinua, el cual es un cereal altiplánico de reconocido uso por las culturas precolombinas del sur de América. Es muy sabroso en sopas, como se usaba antaño, y en ensaladas, como se usa hoy. Del quéchua kinua, del mismo significado.",https://jergozo.com/diccionario-peruano
1534,quinsearse,Jerga,equivocarse,"Equivocarse, confundirse",https://jergozo.com/diccionario-peruano
1535,quinta,Jerga,barrio,Conjunto de casas.,https://jergozo.com/diccionario-peruano
1536,quinua,Jerga,avena,"& Nombre común del Chenopodium quinua, el cual es un cereal altiplánico de reconocido uso por las culturas precolombinas del sur de América. Es muy sabroso en sopas, como se usaba antaño, y en ensaladas, como se usa hoy. Del quéchua kinua, del mismo significado.",https://jergozo.com/diccionario-peruano
1537,quiñar,Jerga,golpear,"Desportillar, descantillar, astillar.",https://jergozo.com/diccionario-peruano
1538,quipu,Jerga,sistema de registro de información,"Son ramales de cuerdas con nudos y varios colores , con lo que los antiguos peruanos daban razón de las historias.",https://jergozo.com/diccionario-peruano
1539,quitarse,Jerga,irse,"Irse de algún lugar, desaparecer, ausentarse de allí. Ya no pertenece, estrictamente hablando a la jerga peruana, porque la Real Academia ya aceptó su uso.",https://jergozo.com/diccionario-peruano
1540,raca,Jerga,usado,"De mala calidad, de mal ver, muy usados",https://jergozo.com/diccionario-peruano
1541,radiola,Jerga,radio,Radiogramola. Equipo estereofónico.,https://jergozo.com/diccionario-peruano
1542,radioloro,Jerga,locutor,Locutor de radio,https://jergozo.com/diccionario-peruano
1543,rajado,Jerga,loco,"Persona que esta mal de la cabeza, sinonimo de loco, tambien se dice para molestar cuando actuan raro.",https://jergozo.com/diccionario-peruano
1544,rajar,Jerga,criticar,Hablar mal de alguien en su ausencia,https://jergozo.com/diccionario-peruano
1545,rajarse,Jerga,pagar la cuenta,"Correr con todos los gastos de algo inesperadamente, una cena por ejemplo",https://jergozo.com/diccionario-peruano
1546,ranchear,Jerga,comer,"Comer , tragar, hacer merco, tirar combo, combear, almorzar, cenar",https://jergozo.com/diccionario-peruano
1547,ranfañote,Jerga,postre de pan,"Postre de pan, azúcar, nueces, queso y coco.",https://jergozo.com/diccionario-peruano
1548,raquetear,Jerga,robar,Significa robar.,https://jergozo.com/diccionario-peruano
1549,rascapies,Jerga,artefacto pirotécnico,Fuego artificial prohibido hecho a base de fosforos que los niÑos jugabamos rascandolo contra el piso,https://jergozo.com/diccionario-peruano
1550,raskimbol,Jerga,vagar,"Abreviatura de ""rascarse las bolas"", es decir, no hacer nada, vagar",https://jergozo.com/diccionario-peruano
1551,raskingball,Jerga,vagar,Ocio,https://jergozo.com/diccionario-peruano
1552,rata,Jerga,hábil,"Persona muy vivaz, sabida.",https://jergozo.com/diccionario-peruano
1553,ratablanca,Jerga,artefacto pirotécnico,artefacto pirotécnico,https://jergozo.com/diccionario-peruano
1554,ratón,Jerga,espacio de tiempo,Espacio de tiempo muy prolongado,https://jergozo.com/diccionario-peruano
1555,raya,Jerga,policia,Policia,https://jergozo.com/diccionario-peruano
1556,rayado,Jerga,loco,Loco,https://jergozo.com/diccionario-peruano
1557,rayarse,Jerga,Volverse loco,Volverse loco,https://jergozo.com/diccionario-peruano
1558,raza,Jerga,descaro,"Descaro, desfachatez.",https://jergozo.com/diccionario-peruano
1559,reales,Jerga,moneda,"Sencillo , moneda pequeña",https://jergozo.com/diccionario-peruano
1560,realitos,Jerga,moneda,"Sencillo , moneda pequeña",https://jergozo.com/diccionario-peruano
1561,recontra chevere,expresión,muy bueno,muy bueno,https://jergozo.com/diccionario-peruano
1562,rechuchasumare,Jerga,mala persona,"Persona sumamente mala y perversa , expresion de enojo o frustracion",https://jergozo.com/diccionario-peruano
1563,recursearse,Jerga,usar ingenio,Apelar al ingenio para salir de apuros económicos. Buscarse la vida.,https://jergozo.com/diccionario-peruano
1564,recutecu,Jerga,gracia,"gracia particular de los peruanos, la cual se atribuyen a sí mismos, especialmente en la preparación de comidas y bebidas, en el baile y en diferentes costumbres",https://jergozo.com/diccionario-peruano
1565,reducidor,Jerga,ladrón,"Perista, el que comercia con objetos robados.",https://jergozo.com/diccionario-peruano
1566,reencauchadora,Jerga,vulcanizadora,Instalación industrial para recauchutar neumáticos.,https://jergozo.com/diccionario-peruano
1567,refacción,Jerga,repuesto,"Repuesto, pieza para la reparación de un aparato. La idea es cambiar la pieza mala por una refacción nueva.",https://jergozo.com/diccionario-peruano
1568,refaccionar,Jerga,arreglar,"Arreglar algo viejo, generalmente referido a un bien inmueble, pero no siempre.",https://jergozo.com/diccionario-peruano
1569,refresquera,Jerga,dispensadora,"Máquina dispensadora de refrescos , cremoladera",https://jergozo.com/diccionario-peruano
1570,regalarse,Jerga,ponerse a disposición,"Brindarse con facilidad, ponerse a disposición",https://jergozo.com/diccionario-peruano
1571,regalona,Jerga,Chica fácil,"Referido a persona, que mima o trata con cariño excesivo a otras.",https://www.asale.org/damer
1572,regañada,Jerga,castigar,castigar,https://jergozo.com/diccionario-peruano
1573,regatear,Jerga,bajas el precio,Cuando compras algo y tratas que te baje el precio del producto,https://jergozo.com/diccionario-peruano
1574,regia,Jerga,bella,bella,https://jergozo.com/diccionario-peruano
1575,regla,Jerga,menstruación,Menstruacion femenina,https://jergozo.com/diccionario-peruano
1576,reilón,Jerga,Sonriente,Sonriente.,https://jergozo.com/diccionario-peruano
1577,relleno,Jerga,pene,Pija.,https://jergozo.com/diccionario-peruano
1578,remaceta,Jerga,ebrio,"Totalmente ebrio , es decir en calidad de bulto",https://jergozo.com/diccionario-peruano
1579,remoler,Jerga,divertirse,Ir de jarana; divertirse.,https://jergozo.com/diccionario-peruano
1580,replana,Jerga,jerga delicuencial,Jerga de delincuentes.,https://jergozo.com/diccionario-peruano
1581,resabioso,Jerga,inteligente,Resabiado.,https://jergozo.com/diccionario-peruano
1582,resaca,Jerga,borrachera,Malestar físico después de una borrachera,https://jergozo.com/diccionario-peruano
1583,resinosa,Jerga,sucia,Persona sucia.,https://jergozo.com/diccionario-peruano
1584,resinoso,Jerga,sucio,"Sucio , de mal aspecto",https://jergozo.com/diccionario-peruano
1585,resondrar,Jerga,reprender,"Reconvenir, reprender (reñir)",https://jergozo.com/diccionario-peruano
1586,retacear,Jerga,escatimar,"Escatimar lo que se da a otro, material o moralmente.",https://jergozo.com/diccionario-peruano
1587,retar,Jerga,desfiar,Desafiar a una persona de lo q no puede hacer,https://jergozo.com/diccionario-peruano
1588,retrechero,Jerga,rebelde,"Rebelde , desconfiado, indeciso",https://jergozo.com/diccionario-peruano
1589,reventar a alguien,expresión,golpear,Golpear fuertemente a alguien,https://jergozo.com/diccionario-peruano
1590,revolear,Jerga,mover,"Mover , menear, ""volear""",https://jergozo.com/diccionario-peruano
1591,ridiculo,Jerga,patético,Un verbo que describe a una persona pathetica.,https://jergozo.com/diccionario-peruano
1592,ring de las cuatro perillas,expresión,cama,Cama. Relativo al sexo.,https://jergozo.com/diccionario-peruano
1593,rio,Jerga,prisión,Prisión,https://jergozo.com/diccionario-peruano
1594,ripio,Jerga, moneda de poco valor,"Es el sencillo, poquito dinero, unas cuantas monedas que valen poco",https://jergozo.com/diccionario-peruano
1595,riquisisimo,Jerga,sabroso,"Rico , sabroso, delicioso",https://jergozo.com/diccionario-peruano
1596,roberto carlos,Jerga,artículo robado,Se implica a cosas robadas.,https://jergozo.com/diccionario-peruano
1597,rocote,Jerga,Rocoto,Rocoto,https://jergozo.com/diccionario-peruano
1598,rompemuelles,Jerga,Reductor de velocidad,Reductor de velocidad,https://jergozo.com/diccionario-peruano
1599,rompete las dos,expresión,buena suerte,Expresion de buena suerte,https://jergozo.com/diccionario-peruano
1600,rompete las piernas,expresión,buena suerte,Expresion de buena suerte,https://jergozo.com/diccionario-peruano
1601,roncador,Jerga,Cohete grande,Cohete grande.,https://jergozo.com/diccionario-peruano
1602,roncan,Jerga,criticar,La definición de roncan es hablar mal de la persona,https://jergozo.com/diccionario-peruano
1603,roncayulo,Jerga,Ronco,Ronco,https://jergozo.com/diccionario-peruano
1604,rondero,Jerga,que hace rondas,Individuo que hace rondas (junto a más compañeros) en la defensa de sus intereses,https://jergozo.com/diccionario-peruano
1605,roño,Jerga,mezquino,"Mezquino, que intenta realizar los menores gastos posibles.",https://jergozo.com/diccionario-peruano
